,Time,Frequency,amplitude
192,0.96,0.152565708111,1.90933937745e-07
193,0.965,0.395667897432,1.93699643162e-07
194,0.97,0.149519654575,1.92592071744e-07
195,0.975,0.398767492631,1.95315956152e-07
196,0.98,0.146637149693,1.94233087914e-07
197,0.985,0.401708160358,1.96915446347e-07
198,0.99,0.143911328429,1.95857340714e-07
199,0.995,0.404496094552,1.98498462799e-07
200,1.0,0.141335712826,1.97465172556e-07
201,1.005,0.407137128,2.00065342684e-07
202,1.01,0.138904183423,1.99056913832e-07
203,1.015,0.409636758217,2.01616411312e-07
204,1.02,0.136610952087,2.00632882921e-07
205,1.025,0.412000172073,2.03151982116e-07
206,1.03,0.134450538053,2.02193386172e-07
207,1.035,0.414232267995,2.04672356624e-07
208,1.04,0.132417745932,2.0373871787e-07
209,1.045,0.416337676891,2.061778244e-07
210,1.05,0.130507645506,2.05269160173e-07
211,1.055,0.418320781859,2.07668662963e-07
212,1.06,0.12871555387,2.06784983018e-07
213,1.065,0.420185736961,2.09145137663e-07
214,1.07,0.127037019743,2.08286443978e-07
215,1.075,0.4219364854,2.10607501519e-07
216,1.08,0.125467809826,2.09773788082e-07
217,1.085,0.423576778016,2.12055994989e-07
218,1.09,0.124003897946,2.11247247552e-07
219,1.095,0.425110192728,2.13490845669e-07
220,1.1,0.12264145819,2.12707041459e-07
221,1.105,0.426540156106,2.14912267878e-07
222,1.11,0.121376862546,2.14153375243e-07
223,1.115,0.427869970239,2.16320462081e-07
224,1.12,0.120206687145,2.15586440028e-07
225,1.125,0.429102849451,2.17715614065e-07
226,1.13,0.119127733412,2.17006411629e-07
227,1.135,0.430241977872,2.19097893689e-07
228,1.14,0.118137080735,2.18413448979e-07
229,1.145,0.431290618484,2.20467452837e-07
230,1.15,0.11723222274,2.19807691418e-07
231,1.155,0.432252383721,2.21824421621e-07
232,1.16,0.116411568887,2.21189253063e-07
233,1.165,0.433132128579,2.23168898846e-07
234,1.17,0.115672864988,2.22558200258e-07
235,1.175,0.433926972025,2.24500896004e-07
236,1.18,0.115003145357,2.23914475882e-07
237,1.185,0.434631500772,2.25820330614e-07
238,1.19,0.114395931973,2.25258007366e-07
239,1.195,0.435245736229,2.2712715211e-07
240,1.2,0.113846860056,2.2658875156e-07
241,1.205,0.435770140303,2.28421327052e-07
242,1.21,0.113351883764,2.27906674968e-07
243,1.215,0.43620512309,2.29702827603e-07
244,1.22,0.11290699532,2.29211746689e-07
245,1.225,0.436550871595,2.30971626741e-07
246,1.23,0.112508075597,2.30503935048e-07
247,1.235,0.436807231714,2.32227695918e-07
248,1.24,0.112150766935,2.31783206039e-07
249,1.245,0.436973582444,2.33471004193e-07
250,1.25,0.111830323748,2.33049523079e-07
251,1.255,0.437048664486,2.34701518683e-07
252,1.26,0.111541395879,2.34302848175e-07
253,1.265,0.437030299301,2.35919206667e-07
254,1.27,0.111277648035,2.3554314515e-07
255,1.275,0.436914830677,2.3712404052e-07
256,1.28,0.111030893449,2.36770386928e-07
257,1.285,0.436695463197,2.38316009104e-07
258,1.29,0.110788008377,2.37984574695e-07
259,1.295,0.436362443899,2.39495165234e-07
260,1.3,0.110547794773,2.39185869322e-07
261,1.305,0.435928820662,2.40661843538e-07
262,1.31,0.110318653627,2.40374711108e-07
263,1.315,0.435400008785,2.41816526982e-07
264,1.32,0.110107483237,2.41551622418e-07
265,1.325,0.434791034025,2.42959815292e-07
266,1.33,0.109925466404,2.42717231813e-07
267,1.335,0.434109667029,2.44092315277e-07
268,1.34,0.109773277218,2.43872088418e-07
269,1.345,0.43335688844,2.45214532384e-07
270,1.35,0.109647784667,2.45016655806e-07
271,1.355,0.432530908586,2.46326904739e-07
272,1.36,0.109543187645,2.46151344142e-07
273,1.365,0.431626857396,2.47429829376e-07
274,1.37,0.109449709947,2.47276534622e-07
275,1.375,0.430633421818,2.48523689959e-07
276,1.38,0.109346100734,2.4839261783e-07
277,1.385,0.429531321613,2.4960895221e-07
278,1.39,0.109238692468,2.49500291036e-07
279,1.395,0.42836106724,2.50686699529e-07
280,1.4,0.109166420322,2.50600873174e-07
281,1.405,0.427144748124,2.51758242005e-07
282,1.41,0.109139448595,2.51695568205e-07
283,1.415,0.425890740137,2.5282470258e-07
284,1.42,0.109162261566,2.52785433003e-07
285,1.425,0.424604305596,2.53887087075e-07
286,1.43,0.109237219852,2.53871427064e-07
287,1.435,0.423289280467,2.5494631712e-07
288,1.44,0.109365601507,2.54954436467e-07
289,1.445,0.421948725395,2.56003248839e-07
290,1.45,0.109548081854,2.56035288834e-07
291,1.455,0.420585261852,2.57058685281e-07
292,1.46,0.109785014334,2.57114763754e-07
293,1.465,0.419201295617,2.58113385379e-07
294,1.47,0.110076648296,2.58193600479e-07
295,1.475,0.417799233487,2.59168070612e-07
296,1.48,0.110423407629,2.59272503628e-07
297,1.485,0.416381932141,2.60223429748e-07
298,1.49,0.110826828952,2.60352146636e-07
299,1.495,0.414953365911,2.61280117121e-07
300,1.5,0.111286409035,2.61433149492e-07
301,1.505,0.413511662431,2.62338700353e-07
302,1.51,0.111797539592,2.62516038347e-07
303,1.515,0.412055863722,2.63399689714e-07
304,1.52,0.112358184645,2.63601320756e-07
305,1.525,0.410586381685,2.64463589748e-07
306,1.53,0.112966934836,2.64689498101e-07
307,1.535,0.409103959942,2.6553089794e-07
308,1.54,0.113622655513,2.65781064599e-07
309,1.545,0.407609518959,2.66602104776e-07
310,1.55,0.114324406395,2.66876507889e-07
311,1.555,0.406104118986,2.6767769461e-07
312,1.56,0.115071431368,2.679763101e-07
313,1.565,0.404588976102,2.68758146841e-07
314,1.57,0.115863199375,2.69080949103e-07
315,1.575,0.403065540318,2.69843937187e-07
316,1.58,0.116699548039,2.70190899814e-07
317,1.585,0.401535799589,2.70935538934e-07
318,1.59,0.117581439371,2.71306635264e-07
319,1.595,0.400003077745,2.7203342115e-07
320,1.6,0.118508931478,2.72428609171e-07
321,1.605,0.398466380686,2.73138003636e-07
322,1.61,0.119478437007,2.73557213094e-07
323,1.615,0.396924942599,2.74249668556e-07
324,1.62,0.120488300482,2.74692832939e-07
325,1.625,0.395379195389,2.75368805267e-07
326,1.63,0.121537495859,2.75835862618e-07
327,1.635,0.393829953346,2.76495810822e-07
328,1.64,0.122625340584,2.76986703831e-07
329,1.645,0.392278293,2.77631090342e-07
330,1.65,0.123751443923,2.78145766835e-07
331,1.655,0.390725545187,2.78775058061e-07
332,1.66,0.124915731232,2.79313471759e-07
333,1.665,0.389173351958,2.7992813885e-07
334,1.67,0.126118540589,2.80490250375e-07
335,1.675,0.387623821153,2.81090770233e-07
336,1.68,0.127360871148,2.81676548462e-07
337,1.685,0.386079953911,2.82263405106e-07
338,1.69,0.128645266378,2.8287282908e-07
339,1.695,0.384547957129,2.83446515749e-07
340,1.7,0.129978944528,2.84079571758e-07
341,1.705,0.383033140198,2.84640549783e-07
342,1.71,0.131357502565,2.85297138393e-07
343,1.715,0.381529088492,2.85845778393e-07
344,1.72,0.132775345519,2.86525769252e-07
345,1.725,0.380034038139,2.87062446126e-07
346,1.73,0.134230314049,2.87765722052e-07
347,1.735,0.378547929924,2.88290821548e-07
348,1.74,0.135721425535,2.89017278626e-07
349,1.745,0.377071594331,2.89531197979e-07
350,1.75,0.1372485525,2.90280746427e-07
351,1.755,0.375606666321,2.9078389562e-07
352,1.76,0.138812518004,2.91556461473e-07
353,1.765,0.374155903778,2.9204926538e-07
354,1.77,0.140415871635,2.92844793515e-07
355,1.775,0.372725373754,2.93327696032e-07
356,1.78,0.142066372256,2.9414615159e-07
357,1.785,0.371322032345,2.94619583087e-07
358,1.79,0.143762647228,2.95460864566e-07
359,1.795,0.369942330839,2.95925175828e-07
360,1.8,0.14550240475,2.9678915637e-07
361,1.805,0.368589297127,2.97244710189e-07
362,1.81,0.147291220385,2.98131286102e-07
363,1.815,0.367268947186,2.98578439565e-07
364,1.82,0.149128519435,2.99487454446e-07
365,1.825,0.36598040972,2.99926498583e-07
366,1.83,0.15101658343,3.00857776986e-07
367,1.835,0.364729297633,3.01288993381e-07
368,1.84,0.15295745715,3.02242315484e-07
369,1.845,0.363516054038,3.02665905932e-07
370,1.85,0.154948359083,3.03640970323e-07
371,1.855,0.362336834347,3.04057051323e-07
372,1.86,0.156981308019,3.05053476244e-07
373,1.865,0.361184042261,3.05462097289e-07
374,1.87,0.159049027777,3.06479471517e-07
375,1.875,0.360053515132,3.06880675973e-07
376,1.88,0.161147038854,3.07918590222e-07
377,1.885,0.358942725939,3.08312422885e-07
378,1.89,0.163272017217,3.09370470494e-07
379,1.895,0.357849980674,3.09756977961e-07
380,1.9,0.165421334159,3.10834754394e-07
381,1.905,0.356774115879,3.11213984764e-07
382,1.91,0.167592839855,3.12311086821e-07
383,1.915,0.355714340058,3.12683089148e-07
384,1.92,0.169784740165,3.13799114072e-07
385,1.925,0.35467013771,3.14163937698e-07
386,1.93,0.171995517295,3.15298482245e-07
387,1.935,0.35364120613,3.15656176057e-07
388,1.94,0.174223876509,3.16808835541e-07
389,1.945,0.352627411767,3.17159447184e-07
390,1.95,0.176468706951,3.18329814503e-07
391,1.955,0.351628758155,3.18673389535e-07
392,1.96,0.178729052934,3.19861054173e-07
393,1.965,0.350645361869,3.20197635171e-07
394,1.97,0.18100409173,3.21402182166e-07
395,1.975,0.349677433999,3.21731807782e-07
396,1.98,0.183293115875,3.22952816649e-07
397,1.985,0.348725265472,3.23275520595e-07
398,1.99,0.185595518644,3.24512564189e-07
399,1.995,0.347789215048,3.24828374144e-07
400,2.0,0.187910782445,3.2608101746e-07
401,2.005,0.34686969889,3.26389953885e-07
402,2.01,0.190238468279,3.27657752753e-07
403,2.015,0.345967182364,3.27959827601e-07
404,2.02,0.192578206433,3.29242327277e-07
405,2.025,0.345082171616,3.29537542567e-07
406,2.03,0.194929688224,3.3083427619e-07
407,2.035,0.344215206131,3.31122622421e-07
408,2.04,0.197292657198,3.32433109293e-07
409,2.045,0.343366851141,3.3271456368e-07
410,2.05,0.199666900472,3.34038307345e-07
411,2.055,0.342537689057,3.34312831806e-07
412,2.06,0.20205223873,3.35649317881e-07
413,2.065,0.341728309715,3.35916856753e-07
414,2.07,0.20444851424,3.37265550432e-07
415,2.075,0.340939298148,3.37526027827e-07
416,2.08,0.206855575624,3.38886370993e-07
417,2.085,0.340171217673,3.39139687699e-07
418,2.09,0.209273256553,3.40511095524e-07
419,2.095,0.339424585892,3.40757125325e-07
420,2.1,0.211701344005,3.4213898218e-07
421,2.105,0.3386998361,3.4237756737e-07
422,2.11,0.214139525178,3.43769221776e-07
423,2.115,0.337997246881,3.44000167515e-07
424,2.12,0.216587281808,3.45400925627e-07
425,2.125,0.337316777582,3.45623992374e-07
426,2.13,0.219043564376,3.47033108702e-07
427,2.135,0.336657027799,3.47248000031e-07
428,2.14,0.221504079161,3.48664660799e-07
429,2.145,0.336013451026,3.48871017363e-07
430,2.15,0.223966396707,3.50294375501e-07
431,2.155,0.335387421694,3.50491831212e-07
432,2.16,0.226431570017,3.51921012328e-07
433,2.165,0.334779777391,3.52109144763e-07
434,2.17,0.228899084134,3.53543196924e-07
435,2.175,0.33418999096,3.53721495088e-07
436,2.18,0.231367016215,3.55159361285e-07
437,2.185,0.333615867919,3.55327194793e-07
438,2.19,0.23383117669,3.56767675407e-07
439,2.195,0.33305188752,3.56924246066e-07
440,2.2,0.236280532337,3.5836593082e-07
441,2.205,0.33247745656,3.58510171477e-07
442,2.21,0.23868005829,3.5995133127e-07
443,2.215,0.331840952219,3.60081869044e-07
444,2.22,0.240954605691,3.61520523884e-07
445,2.225,0.331069098325,3.61635999483e-07
446,2.23,0.243068918995,3.63070695456e-07
447,2.235,0.33017474161,3.63170670074e-07
448,2.24,0.245054720689,3.64600785453e-07
449,2.245,0.32918808495,3.64685334478e-07
450,2.25,0.246934501853,3.66110504567e-07
451,2.255,0.328127827346,3.66179861166e-07
452,2.26,0.248723381941,3.67599826657e-07
453,2.265,0.327007487941,3.67654306662e-07
454,2.27,0.250432723716,3.69068867776e-07
455,2.275,0.325837561414,3.69108836579e-07
456,2.28,0.252071522773,3.70517830089e-07
457,2.285,0.324626523249,3.70543684154e-07
458,2.29,0.253647128999,3.71946970044e-07
459,2.295,0.323381396749,3.71959125406e-07
460,2.3,0.255165677325,3.73356578487e-07
461,2.305,0.322108108765,3.73355463101e-07
462,2.31,0.256632369178,3.74746967469e-07
463,2.315,0.320811730344,3.74733015906e-07
464,2.32,0.258051667135,3.76118461156e-07
465,2.325,0.319496646978,3.76092110788e-07
466,2.33,0.259427436279,3.7747138938e-07
467,2.335,0.31816668454,3.77433077593e-07
468,2.34,0.260763049806,3.78806082981e-07
469,2.345,0.316825204781,3.7875624509e-07
470,2.35,0.262061470792,3.80122870401e-07
471,2.355,0.315475179588,3.80061938072e-07
472,2.36,0.263325316013,3.81422075162e-07
473,2.365,0.314119249973,3.81350475213e-07
474,2.37,0.264556907505,3.82704014003e-07
475,2.375,0.312759773463,3.82622167483e-07
476,2.38,0.265758314114,3.83968995498e-07
477,2.385,0.311398862955,3.83877316978e-07
478,2.39,0.266931386014,3.85217319042e-07
479,2.395,0.310038418668,3.85116216065e-07
480,2.4,0.268077783095,3.86449274104e-07
481,2.405,0.308680154902,3.86339146765e-07
482,2.41,0.269198999132,3.876651397e-07
483,2.415,0.307325622572,3.87546380326e-07
484,2.42,0.270296381947,3.88865184024e-07
485,2.425,0.305976228198,3.88738176927e-07
486,2.43,0.271371150968,3.90049664206e-07
487,2.435,0.304633250173,3.899147855e-07
488,2.44,0.272424411777,3.91218826163e-07
489,2.445,0.303297852977,3.91076443634e-07
490,2.45,0.273457169254,3.92372904534e-07
491,2.455,0.30197109899,3.92223377538e-07
492,2.46,0.274470338428,3.93512122662e-07
493,2.465,0.300653959183,3.93355802064e-07
494,2.47,0.275464754422,3.94636692625e-07
495,2.475,0.299347322118,3.94473920761e-07
496,2.48,0.276441180698,3.95746815302e-07
497,2.485,0.298052002147,3.95577925953e-07
498,2.49,0.277400316747,3.96842680463e-07
499,2.495,0.296768746188,3.96667998852e-07
500,2.5,0.278342804375,3.97924466867e-07
501,2.505,0.295498240261,3.97744309668e-07
502,2.51,0.279269233708,3.98992342394e-07
503,2.515,0.294241114613,3.9880701774e-07
504,2.52,0.28018014826,4.00046464159e-07
505,2.525,0.292997948895,3.99856271674e-07
506,2.53,0.281076049436,4.01086978651e-07
507,2.535,0.291769276372,4.00892209469e-07
508,2.54,0.2819574006,4.02114021859e-07
509,2.545,0.290555587615,4.01914958661e-07
510,2.55,0.28282463081,4.0312771941e-07
511,2.555,0.289357334263,4.02924636453e-07
512,2.56,0.283678137796,4.0412818669e-07
513,2.565,0.288174931913,4.03921349844e-07
514,2.57,0.284518291129,4.05115528975e-07
515,2.575,0.287008762876,4.04905195754e-07
516,2.58,0.285345434564,4.06089841541e-07
517,2.585,0.2858591787,4.0587626114e-07
518,2.59,0.286159888554,4.07051209782e-07
519,2.595,0.284726502416,4.06834623108e-07
520,2.6,0.286961952112,4.07999709306e-07
521,2.605,0.283611030541,4.07780349011e-07
